> paru -Q
orc 0.4.38-1
osinfo-db 20240523-1
ostree 2024.6-1
p11-kit 0.25.3-1
packagekit 1.2.8-8
pacman 6.1.0-3
pacman-mirrorlist 20231001-1
pam 1.6.1-2
pambase 20230918-1
pango 1:1.54.0-1
pangomm 2.46.4-1
pangomm-2.48 2.52.0-1
parted 3.6-1
paru 2.0.3-1
paru-debug 2.0.3-1
passim 0.1.8-1
passt 2024_06_07.8a83b53-1
patch 2.7.6-10
patchutils 0.4.2-2
pavucontrol 1:6.0-1
pciutils 3.13.0-1
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.2.3-1
perl 5.38.2-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
pinentry 1.3.0-1
pipewire 1:1.0.7-2
pipewire-alsa 1:1.0.7-2
pipewire-audio 1:1.0.7-2
pipewire-jack 1:1.0.7-2
pipewire-pulse 1:1.0.7-2
pixman 0.43.4-1
pkgconf 2.1.1-1
polkit 124-2
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
poppler 24.06.1-1
poppler-data 0.4.12-1
poppler-glib 24.06.1-1
poppler-qt6 24.06.1-1
popt 1.19-1
portaudio 1:19.7.0-2
postman-bin 11.0.4-1
pot-translation-bin 2.7.9-1
potrace 1.16-3
procps-ng 4.0.4-3
protobuf 25.3-4
protobuf-c 1.5.0-2
prrte 3.0.5-3
psmisc 23.7-1
pugixml 1.14-1
putty 0.81-1
python 3.12.4-1
python-annotated-types 0.7.0-1
python-argcomplete 3.1.2-1
python-asttokens 2.4.1-2
python-atspi 2.46.1-2
python-attrs 23.2.0-3
python-autocommand 2.2.2-6
python-build 1.2.1-3
python-cachecontrol 1:0.14.0-3
python-cachy 0.3.0-10
python-cairo 1.26.0-2
python-cffi 1.16.0-2
python-charset-normalizer 3.3.2-2
python-cleo 2.1.0-2
